ros_time,header_seq,header_stamp_sec,header_stamp_nsec,frame_id,joint_name,position,velocity,acceleration,effort
1778125835.12191,15276,1778125835,117837333,,LF_HAA,-0.22213959693908691,0.4644252669685285,-2.4284587671603997,1.7716217041015625
1778125835.12191,15276,1778125835,117837333,,LF_HFE,0.8687844276428223,0.2947867657994704,-15.66518278083015,-9.603687286376953
1778125835.12191,15276,1778125835,117837333,,LF_KFE,-1.3578367233276367,0.2525631456645911,-1.0725631618941935,17.047607421875
1778125835.12191,15276,1778125835,117837333,,RF_HAA,0.5193483829498291,0.6475597031462129,1.0108497965328147,-7.868565559387207
1778125835.12191,15276,1778125835,117837333,,RF_HFE,0.8890377879142761,-0.07118071578309648,-1.1791569501834285,-14.054971694946289
1778125835.12191,15276,1778125835,117837333,,RF_KFE,-1.3792165517807007,0.12965596854218328,3.5730031785778,37.47438430786133
1778125835.12191,15276,1778125835,117837333,,LH_HAA,-0.5145546793937683,-0.7807461868948115,1.4087428413055203,23.73057746887207
1778125835.12191,15276,1778125835,117837333,,LH_HFE,-0.6927361488342285,0.43808678687996977,2.1007185786645066,9.124335289001465
1778125835.12191,15276,1778125835,117837333,,LH_KFE,1.2323858737945557,-0.29625733006389854,-0.17929938433942952,-38.12430953979492
1778125835.12191,15276,1778125835,117837333,,RH_HAA,0.36312201619148254,-0.2352414965262818,-15.92761014201434,-5.993734359741211
1778125835.12191,15276,1778125835,117837333,,RH_HFE,-1.1235690116882324,1.5989178098780201,18.956939370380717,-4.06133508682251
1778125835.12191,15276,1778125835,117837333,,RH_KFE,1.4790211915969849,-4.17903384729094,-42.04603629233507,-1.7333108186721802
1778125835.1238184,15277,1778125835,120275083,,LF_HAA,-0.22062958776950836,0.5129822503602661,-0.42868701000972376,0.9662389755249023
1778125835.1238184,15277,1778125835,120275083,,LF_HFE,0.8693836331367493,0.2739781066878658,-12.248538583540864,-8.641499519348145
1778125835.1238184,15277,1778125835,120275083,,LF_KFE,-1.3569978475570679,0.2803514423282106,0.9611580069110807,16.8680477142334
1778125835.1238184,15277,1778125835,120275083,,RF_HAA,0.5210022330284119,0.6159072179975373,0.14801493973102448,-7.56552267074585
1778125835.1238184,15277,1778125835,120275083,,RF_HFE,0.888822078704834,-0.07920436657788206,-1.250635860946019,-13.695845603942871
1778125835.1238184,15277,1778125835,120275083,,RF_KFE,-1.3788570165634155,0.13184356396298003,3.2045807410069385,36.11435317993164
1778125835.1238184,15277,1778125835,120275083,,LH_HAA,-0.5175507664680481,-0.9364487322641347,-3.936133981641701,24.22007942199707
1778125835.1238184,15277,1778125835,120275083,,LH_HFE,-0.6921129822731018,0.35395233488024097,-1.9136304468220042,11.171815872192383
1778125835.1238184,15277,1778125835,120275083,,LH_KFE,1.2322659492492676,-0.17969015745631742,5.41590732396127,-37.893184661865234
1778125835.1238184,15277,1778125835,120275083,,RH_HAA,0.3630501329898834,-0.14053947984068568,-6.714503154161658,-6.815864562988281
1778125835.1238184,15277,1778125835,120275083,,RH_HFE,-1.119710087776184,1.6036607666213967,14.360290838338651,-2.9344940185546875
1778125835.1238184,15277,1778125835,120275083,,RH_KFE,1.468546986579895,-4.265926668389718,-42.148132301148785,-1.9552843570709229
1778125835.1253717,15278,1778125835,122792469,,LF_HAA,-0.21883195638656616,0.5822988074757667,2.3034323421498586,-0.43120333552360535
1778125835.1253717,15278,1778125835,122792469,,LF_HFE,0.8702704906463623,0.3011928832883583,-5.197060596645409,-7.687990188598633
1778125835.1253717,15278,1778125835,122792469,,LF_KFE,-1.3562548160552979,0.29388754945740514,1.5397193341130302,16.37967300415039
1778125835.1253717,15278,1778125835,122792469,,RF_HAA,0.5224403142929077,0.611239711936794,-0.07278906118323338,-5.625515460968018
1778125835.1253717,15278,1778125835,122792469,,RF_HFE,0.8884625434875488,-0.10309573660038883,-1.7821411290570859,-13.003473281860352
1778125835.1253717,15278,1778125835,122792469,,RF_KFE,-1.3783776760101318,0.1651527933034155,4.408842145653567,34.29711151123047
1778125835.1253717,15278,1778125835,122792469,,LH_HAA,-0.5199475884437561,-0.9617295545705253,-4.436145805255441,24.173442840576172
1778125835.1253717,15278,1778125835,122792469,,LH_HFE,-0.6911302804946899,0.3585237923717949,-1.0802540382272061,13.318422317504883
1778125835.1253717,15278,1778125835,122792469,,LH_KFE,1.2318105697631836,-0.1772747494102104,3.3390998705650126,-36.45610427856445
1778125835.1253717,15278,1778125835,122792469,,RH_HAA,0.3621872663497925,-0.23766360824819524,-13.527262571477353,-7.07220983505249
1778125835.1253717,15278,1778125835,122792469,,RH_HFE,-1.1147726774215698,1.6921262176333804,18.906741446993813,-1.832558512687683
1778125835.1253717,15278,1778125835,122792469,,RH_KFE,1.4555320739746094,-4.4824528502897385,-43.95669565006595,-1.9135323762893677
1778125835.1334639,15279,1778125835,125296177,,LF_HAA,-0.21715416014194489,0.6377245493720095,4.218811886596799,-1.442610502243042
1778125835.1334639,15279,1778125835,125296177,,LF_HFE,0.8712531924247742,0.35223407166730025,0.347114535623408,-7.333027362823486
1778125835.1334639,15279,1778125835,125296177,,LF_KFE,-1.3554878234863281,0.2848035569134153,0.9414601356453913,15.939455032348633
1778125835.1334639,15279,1778125835,125296177,,RF_HAA,0.5244296789169312,0.6645096915096449,1.237648656284625,-3.379051923751831
1778125835.1334639,15279,1778125835,125296177,,RF_HFE,0.8884145617485046,-0.06225900961803334,-0.22591751987856218,-12.939537048339844
1778125835.1334639,15279,1778125835,125296177,,RF_KFE,-1.3779222965240479,0.16334725746931503,3.8141940937555345,32.82087326049805
1778125835.1334639,15279,1778125835,125296177,,LH_HAA,-0.5222246050834656,-0.8824721827645723,-0.4675928474138255,23.455928802490234
1778125835.1334639,15279,1778125835,125296177,,LH_HFE,-0.6898120045661926,0.44882245528726994,2.505994704927239,13.962024688720703
1778125835.1334639,15279,1778125835,125296177,,LH_KFE,1.231115460395813,-0.23038326651959679,-0.09540796243392727,-34.92744445800781
1778125835.1334639,15279,1778125835,125296177,,RH_HAA,0.36086899042129517,-0.38498553520693224,-18.92516998910494,-6.7892045974731445
1778125835.1334639,15279,1778125835,125296177,,RH_HFE,-1.110122799873352,1.809586202512843,26.775730526343107,-1.5385253429412842
1778125835.1334639,15279,1778125835,125296177,,RH_KFE,1.443739652633667,-4.693164685739844,-46.5811066810201,-1.4849754571914673
1778125835.1335738,15280,1778125835,127859649,,LF_HAA,-0.21562017500400543,0.6370720083259128,3.964882139818834,-1.7157530784606934
1778125835.1335738,15280,1778125835,127859649,,LF_HFE,0.8725954294204712,0.41472843398548015,4.9897802442598715,-7.505277633666992
1778125835.1335738,15280,1778125835,127859649,,LF_KFE,-1.3549364805221558,0.2607558614155155,-0.2410144974002738,15.829117774963379
1778125835.1335738,15280,1778125835,127859649,,RF_HAA,0.5260595679283142,0.6710836880157487,1.407300140363997,-1.7523729801177979
1778125835.1335738,15280,1778125835,127859649,,RF_HFE,0.8884145617485046,-0.02977829281361342,0.7748882977610732,-13.061450004577637
1778125835.1335738,15280,1778125835,127859649,,RF_KFE,-1.3775867223739624,0.14989301757650517,2.908826049309279,32.23256301879883
1778125835.1335738,15280,1778125835,127859649,,LH_HAA,-0.524357795715332,-0.8909331454162949,-0.4748687699594901,23.247180938720703
1778125835.1335738,15280,1778125835,127859649,,LH_HFE,-0.6885416507720947,0.4432585292036059,1.9743702936469048,14.22252368927002
1778125835.1335738,15280,1778125835,127859649,,LH_KFE,1.2307559251785278,-0.17206583102223239,2.7904712423035494,-34.36223602294922
1778125835.1335738,15280,1778125835,127859649,,RH_HAA,0.3599582016468048,-0.34344833652064244,-10.54542602746258,-7.66878080368042
1778125835.1335738,15280,1778125835,127859649,,RH_HFE,-1.1048017740249634,1.8566961906157997,25.505679122496463,-1.0962796211242676
1778125835.1335738,15280,1778125835,127859649,,RH_KFE,1.429478406906128,-4.905027006780863,-48.95571533225369,-0.9918578863143921
1778125835.1352427,15281,1778125835,130411933,,LF_HAA,-0.21319936215877533,0.7613504678995484,7.958401783471508,-2.5902938842773438
1778125835.1352427,15281,1778125835,130411933,,LF_HFE,0.8735541701316833,0.4072924721030586,3.4540166031824766,-7.590792655944824
1778125835.1352427,15281,1778125835,130411933,,LF_KFE,-1.3540496826171875,0.28866881898528585,0.8375362329279882,15.458026885986328
1778125835.1352427,15281,1778125835,130411933,,RF_HAA,0.5279290676116943,0.669171604932099,1.321962971526475,-0.8432978391647339
1778125835.1352427,15281,1778125835,130411933,,RF_HFE,0.8883906006813049,-0.021218307382718394,0.9280931309230384,-13.06822395324707
1778125835.1352427,15281,1778125835,130411933,,RF_KFE,-1.3771313428878784,0.1587537415137947,2.7850270086661277,31.920957565307617
1778125835.1352427,15281,1778125835,130411933,,LH_HAA,-0.5272340178489685,-0.9616911051822873,-2.6154336480775466,23.80704116821289
1778125835.1352427,15281,1778125835,130411933,,LH_HFE,-0.6878226399421692,0.37207702695575007,-1.3184195358275836,14.56037712097168
1778125835.1352427,15281,1778125835,130411933,,LH_KFE,1.2307080030441284,-0.09983472289331663,5.753660332365588,-34.59272003173828
1778125835.1352427,15281,1778125835,130411933,,RH_HAA,0.3594069182872772,-0.29203593677525713,-7.181152094061376,-8.624923706054688
1778125835.1352427,15281,1778125835,130411933,,RH_HFE,-1.0999600887298584,1.9360379513387946,26.09311386942396,-1.044064998626709
1778125835.1352427,15281,1778125835,130411933,,RH_KFE,1.4149055480957031,-5.0707692366961075,-49.72270892198982,-0.7588034868240356
1778125835.1354492,15282,1778125835,132768499,,LF_HAA,-0.2106347382068634,0.8419207614781538,10.110344334911899,-3.2203714847564697
1778125835.1354492,15282,1778125835,132768499,,LF_HFE,0.8745129108428955,0.37418874725261475,0.5431361081845268,-7.594675540924072
1778125835.1354492,15282,1778125835,132768499,,LF_KFE,-1.353354573249817,0.2867765847741357,0.7710506493407554,15.427475929260254
1778125835.1354492,15282,1778125835,132768499,,RF_HAA,0.5294870138168335,0.6107962956152959,-0.4839017796133618,-0.5098196268081665
1778125835.1354492,15282,1778125835,132768499,,RF_HFE,0.8881030082702637,-0.06555483999516913,-0.4103487989938176,-12.680360794067383
1778125835.1354492,15282,1778125835,132768499,,RF_KFE,-1.3763163089752197,0.2275112719881633,5.3185374939760655,31.421865463256836
1778125835.1354492,15282,1778125835,132768499,,LH_HAA,-0.5294870138168335,-0.9461455681092222,-2.240362961740438,24.10350799560547
1778125835.1354492,15282,1778125835,132768499,,LH_HFE,-0.6869597434997559,0.34443750945090357,-1.8260980675874434,14.451251983642578
1778125835.1354492,15282,1778125835,132768499,,LH_KFE,1.2304203510284424,-0.1050114461604291,4.119558535930636,-34.61693572998047
1778125835.1354492,15282,1778125835,132768499,,RH_HAA,0.3581845164299011,-0.3743090638772375,-11.342296289887763,-8.425042152404785
1778125835.1354492,15282,1778125835,132768499,,RH_HFE,-1.093991994857788,2.044886671412513,27.814286652434618,-1.4734678268432617
1778125835.1354492,15282,1778125835,132768499,,RH_KFE,1.4019147157669067,-5.236655277310216,-50.54271433112063,0.08710229396820068
1778125835.1375442,15283,1778125835,135272174,,LF_HAA,-0.20850154757499695,0.8621025956929377,9.715693422450256,-3.4460344314575195
1778125835.1375442,15283,1778125835,135272174,,LF_HFE,0.8754476308822632,0.35083478857392375,-1.4845891032292453,-7.697784423828125
1778125835.1375442,15283,1778125835,135272174,,LF_KFE,-1.3526355028152466,0.270944999232861,0.2743400302800076,15.470769882202148
1778125835.1375442,15283,1778125835,135272174,,RF_HAA,0.5309251546859741,0.6055740697442459,-0.7561955534250502,-0.9325824975967407
1778125835.1375442,15283,1778125835,135272174,,RF_HFE,0.8878153562545776,-0.09059855566016398,-1.20175680150995,-12.339852333068848
1778125835.1375442,15283,1778125835,135272174,,RF_KFE,-1.3756213188171387,0.2537841883796356,5.719260413723089,31.24183464050293
1778125835.1375442,15283,1778125835,135272174,,LH_HAA,-0.5316442251205444,-0.8528843298957375,1.2519680074127904,23.80477523803711
1778125835.1375442,15283,1778125835,135272174,,LH_HFE,-0.6860489845275879,0.3594142202822629,-1.015656868879435,13.9595308303833
1778125835.1375442,15283,1778125835,135272174,,LH_KFE,1.2298930883407593,-0.14758735257325545,1.3682716144574267,-34.239501953125
1778125835.1375442,15283,1778125835,135272174,,RH_HAA,0.3568183183670044,-0.4299097005556928,-12.298235566326724,-7.687219142913818
1778125835.1375442,15283,1778125835,135272174,,RH_HFE,-1.0879279375076294,2.1063673430736465,27.48210311281798,-1.7982409000396729
1778125835.1375442,15283,1778125835,135272174,,RH_KFE,1.3864550590515137,-5.388367175654597,-50.82290550940787,0.6743463277816772
1778125835.139794,15284,1778125835,137768534,,LF_HAA,-0.20651216804981232,0.8497997901421804,7.280582012307811,-3.2254090309143066
1778125835.139794,15284,1778125835,137768534,,LF_HFE,0.8761427402496338,0.32186342420792863,-2.788951842322632,-7.491362571716309
1778125835.139794,15284,1778125835,137768534,,LF_KFE,-1.351988434791565,0.27121064955159635,0.05833351433244574,15.853498458862305
1778125835.139794,15284,1778125835,137768534,,RF_HAA,0.5326029658317566,0.654917118421234,0.474218675692645,-1.827481746673584
1778125835.139794,15284,1778125835,137768534,,RF_HFE,0.8875038027763367,-0.09997681085985076,-1.36715837983226,-11.979660987854004
1778125835.139794,15284,1778125835,137768534,,RF_KFE,-1.3751178979873657,0.2299466662260135,3.926163905468772,31.0571346282959
1778125835.139794,15284,1778125835,137768534,,LH_HAA,-0.5336096286773682,-0.8385694728519116,1.7078035811804044,23.735149383544922
1778125835.139794,15284,1778125835,137768534,,LH_HFE,-0.6851860880851746,0.329382626519172,-1.817736873608058,14.044632911682129
1778125835.139794,15284,1778125835,137768534,,LH_KFE,1.2297013998031616,-0.11344097518891037,2.624980681111317,-34.247581481933594
1778125835.139794,15284,1778125835,137768534,,RH_HAA,0.3560752868652344,-0.373222818725243,-8.68803255469437,-7.949240207672119
1778125835.139794,15284,1778125835,137768534,,RH_HFE,-1.0827268362045288,2.1340882534393084,25.87310587071477,-1.605501413345337
1778125835.139794,15284,1778125835,137768534,,RH_KFE,1.37327241897583,-5.436823391688589,-49.83749223023667,0.7409816980361938
1778125835.1474872,15285,1778125835,140258528,,LF_HAA,-0.2039475440979004,0.8841179164497004,7.521057469258696,-2.8519508838653564
1778125835.1474872,15285,1778125835,140258528,,LF_HFE,0.8768618106842041,0.31318649583655744,-2.848595532042856,-6.478119373321533
1778125835.1474872,15285,1778125835,140258528,,LF_KFE,-1.3510535955429077,0.3064560552611683,1.2404504681989565,17.870433807373047
1778125835.1474872,15285,1778125835,140258528,,RF_HAA,0.5348559617996216,0.7347693072566562,3.008461297275759,-2.5690886974334717
1778125835.1474872,15285,1778125835,140258528,,RF_HFE,0.8873839378356934,-0.0758154524788642,-0.6986904985734577,-10.844193458557129
1778125835.1474872,15285,1778125835,140258528,,RF_KFE,-1.374854326248169,0.15832692833721745,-0.7140082854390505,29.32694435119629
1778125835.1474872,15285,1778125835,140258528,,LH_HAA,-0.5361263155937195,-0.8711408983794758,0.8617081149564697,23.6629638671875
1778125835.1474872,15285,1778125835,140258528,,LH_HFE,-0.6847307085990906,0.2631061177222672,-4.210021058154557,16.369272232055664
1778125835.1474872,15285,1778125835,140258528,,LH_KFE,1.2297013998031616,-0.06028718642158726,4.70577568560775,-34.15700149536133
1778125835.1474872,15285,1778125835,140258528,,RH_HAA,0.3550686240196228,-0.40141351070719505,-9.041587163110565,-8.295500755310059
1778125835.1474872,15285,1778125835,140258528,,RH_HFE,-1.077262043952942,2.2019307508914503,25.43484276592588,0.3252350091934204
1778125835.1474872,15285,1778125835,140258528,,RH_KFE,1.3577167987823486,-5.500727673099749,-48.21713234502653,1.283786416053772
1778125835.1476514,15286,1778125835,142769563,,LF_HAA,-0.20193418860435486,0.8625841617970513,4.9930535355556875,-0.9231995344161987
1778125835.1476514,15286,1778125835,142769563,,LF_HFE,0.8780122995376587,0.3639013138239101,-0.4129334467660099,-5.452029228210449
1778125835.1476514,15286,1778125835,142769563,,LF_KFE,-1.3502147197723389,0.32553673894423174,1.754782741494811,20.058574676513672
1778125835.1476514,15286,1778125835,142769563,,RF_HAA,0.5367255210876465,0.7548505738507761,3.567926660907891,-2.587939500808716
1778125835.1476514,15286,1778125835,142769563,,RF_HFE,0.8872880935668945,-0.05310000955806033,0.0681327403990684,-9.098246574401855
1778125835.1476514,15286,1778125835,142769563,,RF_KFE,-1.3746625185012817,0.12311766255587576,-1.9763946289705012,27.224430084228516
1778125835.1476514,15286,1778125835,142769563,,LH_HAA,-0.5378999710083008,-0.8048947995532685,2.3235476639164174,23.073638916015625
1778125835.1476514,15286,1778125835,142769563,,LH_HFE,-0.6838198900222778,0.29984810345116597,-2.234890565174489,19.102867126464844
1778125835.1476514,15286,1778125835,142769563,,LH_KFE,1.2294137477874756,-0.08669519998173227,2.7742513928424763,-33.37759780883789
1778125835.1476514,15286,1778125835,142769563,,RH_HAA,0.35322305560112,-0.5422576145646938,-14.869249684792566,-8.02581787109375
1778125835.1476514,15286,1778125835,142769563,,RH_HFE,-1.0705028772354126,2.315293728749935,26.412720364476588,3.030941963195801
1778125835.1476514,15286,1778125835,142769563,,RH_KFE,1.3441267013549805,-5.5755256149498775,-46.91607056081478,2.2525634765625
1778125835.148938,15287,1778125835,145230178,,LF_HAA,-0.1997290998697281,0.8252114562982377,1.7908986014066752,1.8765767812728882
1778125835.148938,15287,1778125835,145230178,,LF_HFE,0.8792107105255127,0.42693591501396944,2.4268882344865528,-5.106274127960205
1778125835.148938,15287,1778125835,145230178,,LF_KFE,-1.3494477272033691,0.29731426379914533,0.7296655254750876,22.376310348510742
1778125835.148938,15287,1778125835,145230178,,RF_HAA,0.538786768913269,0.7425439732954654,3.1100867255248557,-2.2437517642974854
1778125835.148938,15287,1778125835,145230178,,RF_HFE,0.8872880935668945,-0.028219522781346727,0.7890200957694696,-8.123729705810547
